id,label1,label2
1050,化学,材料・応用物理
1051,化学,材料・応用物理
1052,化学,材料・応用物理
1053,化学,材料・応用物理
1054,化学,材料・応用物理
1055,材料・応用物理,化学
1056,化学,材料・応用物理
1057,材料・応用物理,電子・情報通信
1058,化学,材料・応用物理
1059,化学,材料・応用物理
1060,化学,材料・応用物理
1061,化学,材料・応用物理
1062,材料・応用物理,化学
1063,材料・応用物理,化学
1064,化学,材料・応用物理
1065,化学,材料・応用物理
1066,化学,材料・応用物理
1067,材料・応用物理,化学
1068,化学,材料・応用物理
1069,化学,材料・応用物理
1070,化学,材料・応用物理
1071,化学,材料・応用物理
